id,Country,Regional_indicator,Happiness_score,Standard_error_of_ladder_score,upperwhisker,lowerwhisker,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Ladder_score_in_Dystopia,Explained_by:_Log_GDP_per_capita,Explained_by:_Social_support,Explained_by:_Healthy_life_expectancy,Explained_by:_Freedom_to_make_life_choices,Explained_by:_Generosity,Explained_by:_Perceptions_of_corruption,Dystopia_residual,Population_(2020),Net_Change,Density,Land_Area,Migrant_net,Rank,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index
8,Albania,Central and Eastern Europe,4.882699966,0.056115732,4.992686749,4.772713184,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,1.972316742,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,2878420,-3120,105,27400,-14000,424,37.25,10.18,24.43,28.33,31.35,35.89
12,Algeria,Middle East and North Africa,5.005099773,0.044236008,5.09180212,4.918397427,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1.972316742,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,43685618,797990,18,2381740,-10000,469,33.44,8.93,21.84,33.22,21.35,36.42
32,Argentina,Latin America and Caribbean,5.974699974,0.053441759,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,1.972316742,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,45111229,415097,17,2736690,4800,409,38.57,11.75,25.87,29.66,37.47,59.76
51,Armenia,Commonwealth of Independent States,4.676799774,0.058595356,4.791646481,4.561953068,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,1.972316742,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,2962137,5512,104,28470,-4998,472,33.16,9.67,22.04,25.4,33.31,33.43
36,Australia,North America and ANZ,7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,25439164,296686,3,7682300,158246,126.2,72.033,38.904,56.352,64.478,72.537,133.37
40,Austria,Western Europe,7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,8996022,51296,109,82409,65000,84.5,74.7325,28.26,52.7375,66.1975,70.2725,99.9425
31,Azerbaijan,Commonwealth of Independent States,5.164800167,0.034197241,5.231826782,5.097773552,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,1.972316742,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,10120555,91459,123,82658,1200,493,29.41,9.3,19.89,24.32,31.25,34.29
#N/A,Bahrain,Middle East and North Africa,6.227300167,0.081882261,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1.972316742,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,1688629,60403,2239,760,47800,304,55.23,28.59,42.62,47.89,54.77,72.63
50,Bangladesh,South Asia,4.832799911,0.040124193,4.911443233,4.75415659,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,1.972316742,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,164354176,1643222,1265,130170,-369501,481,31.57,6.03,19.48,28.1,20.73,41.15
112,Belarus,Commonwealth of Independent States,5.539899826,0.037060037,5.612537384,5.467262268,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,1.972316742,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,9449940,-3088,47,202910,8730,457,34.07,10.95,23.13,26.58,38.05,46.29
